Step Range,Steps,Time (seconds),Time per Step (seconds)
301000-301500,500,33.4310,0.066862
301500-302000,500,31.2724,0.062545
302000-302500,500,27.2483,0.054497
302500-303000,500,28.4644,0.056929
303000-303500,500,35.2374,0.070475
303500-304000,500,32.2908,0.064582
304000-304500,500,33.5701,0.067140
304500-305000,500,30.6963,0.061393
305000-305500,500,35.9110,0.071822
305500-306000,500,31.1383,0.062277
306000-306500,500,33.0894,0.066179
306500-307000,500,20.5217,0.041043
307000-307500,500,33.7974,0.067595
307500-308000,500,71.4741,0.142948
308000-308500,500,30.0121,0.060024
308500-309000,500,28.0165,0.056033
309000-309500,500,32.4454,0.064891
309500-310000,500,30.6885,0.061377
310000-310500,500,32.6580,0.065316
310500-311000,500,33.1380,0.066276
311000-311500,500,30.6532,0.061306
311500-312000,500,29.4388,0.058878
312000-312500,500,28.0074,0.056015
312500-313000,500,28.3037,0.056607
313000-313500,500,41.7694,0.083539
313500-314000,500,35.0168,0.070034
314000-314500,500,33.9993,0.067999
314500-315000,500,27.0901,0.054180
315000-315500,500,27.5644,0.055129
315500-316000,500,26.7657,0.053531
316000-316500,500,34.0541,0.068108
316500-317000,500,28.8943,0.057789
317000-317500,500,33.5607,0.067121
317500-318000,500,26.9157,0.053831
318000-318500,500,50.1293,0.100259
318500-319000,500,29.5352,0.059070
319000-319500,500,43.1826,0.086365
319500-320000,500,34.9882,0.069976
320000-320500,500,28.5709,0.057142
320500-321000,500,23.6002,0.047200
321000-321500,500,26.3032,0.052606
321500-322000,500,40.0755,0.080151
322000-322500,500,33.2436,0.066487
322500-323000,500,30.2702,0.060540
323000-323500,500,30.6401,0.061280
323500-324000,500,29.0115,0.058023
324000-324500,500,31.1008,0.062202
324500-325000,500,26.8023,0.053605
325000-325500,500,21.5620,0.043124
325500-326000,500,29.9092,0.059818
326000-326500,500,31.9082,0.063816
326500-327000,500,25.7453,0.051491
327000-327500,500,34.3627,0.068725
327500-328000,500,33.9231,0.067846
328000-328500,500,30.5570,0.061114
328500-329000,500,25.3954,0.050791
329000-329500,500,28.5281,0.057056
329500-330000,500,28.0137,0.056027
330000-330500,500,32.6006,0.065201
330500-331000,500,26.3287,0.052657
331000-331500,500,31.5863,0.063173
331500-332000,500,32.1564,0.064313
332000-332500,500,30.8844,0.061769
332500-333000,500,27.7608,0.055522
333000-333500,500,29.0768,0.058154
333500-334000,500,28.7159,0.057432
334000-334500,500,27.7355,0.055471
334500-335000,500,28.6714,0.057343
335000-335500,500,26.9260,0.053852
335500-336000,500,27.5386,0.055077
336000-336500,500,22.9985,0.045997
336500-337000,500,39.1133,0.078227
337000-337500,500,25.1400,0.050280
337500-338000,500,35.3424,0.070685
338000-338500,500,28.9181,0.057836
338500-339000,500,27.6236,0.055247
339000-339500,500,30.8501,0.061700
339500-340000,500,29.3220,0.058644
340000-340500,500,31.4857,0.062971
340500-341000,500,34.1108,0.068222
341000-341500,500,30.5502,0.061100
341500-342000,500,25.0160,0.050032
342000-342500,500,29.5153,0.059031
342500-343000,500,28.6581,0.057316
343000-343500,500,28.6384,0.057277
343500-344000,500,28.1082,0.056216
344000-344500,500,27.4060,0.054812
344500-345000,500,26.3503,0.052701
345000-345500,500,37.6939,0.075388
345500-346000,500,32.9607,0.065921
346000-346500,500,27.3396,0.054679
346500-347000,500,29.7975,0.059595
347000-347500,500,32.0080,0.064016
347500-348000,500,25.7637,0.051527
348000-348500,500,27.1775,0.054355
348500-349000,500,31.3105,0.062621
349000-349500,500,30.1541,0.060308
349500-350000,500,28.1045,0.056209
350000-350500,500,25.6305,0.051261
350500-351000,500,32.8342,0.065668
351000-351500,500,31.5413,0.063083
351500-352000,500,35.5798,0.071160
352000-352500,500,28.4129,0.056826
352500-353000,500,24.6229,0.049246
353000-353500,500,32.1374,0.064275
353500-354000,500,33.5657,0.067131
354000-354500,500,29.3154,0.058631
354500-355000,500,34.2708,0.068542
355000-355500,500,25.4890,0.050978
355500-356000,500,31.3154,0.062631
356000-356500,500,30.9443,0.061889
356500-357000,500,31.4933,0.062987
357000-357500,500,34.2222,0.068444
357500-358000,500,29.6233,0.059247
358000-358500,500,21.4216,0.042843
358500-359000,500,31.2701,0.062540
359000-359500,500,25.0682,0.050136
359500-360000,500,31.8686,0.063737
360000-360500,500,28.2959,0.056592
360500-361000,500,27.7798,0.055560
361000-361500,500,35.5018,0.071004
361500-362000,500,36.2458,0.072492
362000-362500,500,33.9260,0.067852
362500-363000,500,32.5029,0.065006
363000-363500,500,32.8874,0.065775
363500-364000,500,27.8921,0.055784
364000-364500,500,35.0944,0.070189
364500-365000,500,29.8466,0.059693
365000-365500,500,23.1735,0.046347
365500-366000,500,27.9952,0.055990
366000-366500,500,34.8058,0.069612
366500-367000,500,33.4316,0.066863
367000-367500,500,30.5763,0.061153
367500-368000,500,21.8268,0.043654
368000-368500,500,27.3751,0.054750
368500-369000,500,32.0912,0.064182
369000-369500,500,28.1356,0.056271
369500-370000,500,24.5170,0.049034
370000-370500,500,26.8724,0.053745
370500-371000,500,28.0544,0.056109
371000-371500,500,37.3052,0.074610
371500-372000,500,29.0891,0.058178
372000-372500,500,30.2213,0.060443
372500-373000,500,30.0275,0.060055
373000-373500,500,21.8925,0.043785
373500-374000,500,30.8478,0.061696
374000-374500,500,27.3796,0.054759
374500-375000,500,26.7559,0.053512
375000-375500,500,30.2133,0.060427
375500-376000,500,28.4419,0.056884
376000-376500,500,27.4959,0.054992
376500-377000,500,26.3721,0.052744
377000-377500,500,30.5913,0.061183
377500-378000,500,24.8460,0.049692
378000-378500,500,34.6941,0.069388
378500-379000,500,33.7385,0.067477
379000-379500,500,29.6132,0.059226
379500-380000,500,36.8607,0.073721
380000-380500,500,30.6251,0.061250
380500-381000,500,29.4377,0.058875
381000-381500,500,29.1826,0.058365
381500-382000,500,41.1401,0.082280
382000-382500,500,35.9952,0.071990
382500-383000,500,29.7126,0.059425
383000-383500,500,24.7107,0.049421
383500-384000,500,36.7722,0.073544
384000-384500,500,33.5848,0.067170
384500-385000,500,34.1954,0.068391
