#"Step","Potential Energy (kJ/mole)","Temperature (K)"
173000,-1302648.885931715,447.6736444209012
173500,-1302645.8514534445,379.21640078783173
174000,-1302628.7868013529,321.8289877854668
174500,-1302646.2515955942,400.92715421174995
175000,-1302646.8911989557,333.51143088319077
175500,-1302669.9321043254,437.0518343831361
176000,-1302649.5149712157,273.74570968531583
176500,-1302652.502173211,377.741412023315
177000,-1302637.7042578561,282.90021751646333
177500,-1302670.6294106143,298.44148311777855
178000,-1302660.4885764192,286.5384594822974
178500,-1302660.0897504368,281.1142935117778
179000,-1302643.6296471441,398.24230131455
179500,-1302635.1145802084,478.2052608106052
180000,-1302624.5254772098,413.5381289060018
180500,-1302606.4220950652,370.1350192151857
181000,-1302650.8203247387,483.34328779112076
181500,-1302627.2180656171,544.5713400324667
182000,-1302631.2642986432,312.25232009506965
182500,-1302659.5146137592,382.28051470012883
183000,-1302639.453985397,303.23019936640503
183500,-1302670.0584481133,389.2320117329707
184000,-1302660.1870453225,344.31389218180914
184500,-1302647.7201783694,405.9764244307782
185000,-1302628.102472443,400.9344113351285
185500,-1302672.712445399,534.8550190159062
186000,-1302642.5769237964,341.38789996014367
186500,-1302651.515214756,437.0323433686546
187000,-1302666.118817859,262.163599898865
187500,-1302670.4718944058,309.9408981037719
188000,-1302671.2131179117,422.7068000698795
188500,-1302663.0679306497,468.22691352423954
189000,-1302656.6818527572,442.0748184059569
189500,-1302660.1179565217,436.1408769598392
190000,-1302670.913733964,452.68351153024804
190500,-1302633.01766483,338.6448084929161
191000,-1302645.505429907,374.8157401907236
191500,-1302622.1501027509,338.07796466716155
192000,-1302656.878709145,538.5570185775537
192500,-1302633.6083010247,407.851303522564
193000,-1302607.6269912026,573.4788522938566
193500,-1302620.1986880354,576.5370048272002
194000,-1302622.0311488837,537.2568829025558
194500,-1302663.1583116427,444.01471183125216
195000,-1302648.6207770929,414.8265397139409
195500,-1302669.910039961,313.11953455922156
196000,-1302664.3132371274,283.5066453449099
196500,-1302667.0046705797,363.9941921833597
197000,-1302618.6490603501,337.68407506230136
197500,-1302634.304572506,392.4426925257504
198000,-1302629.9308049974,395.9391238281497
198500,-1302647.5348649558,361.54349433518206
199000,-1302658.4771352774,454.6056083388896
199500,-1302669.1411178487,385.20578516854357
200000,-1302673.899078094,432.3221720623489
200500,-1302688.3139178688,409.424324466728
